Question,Polite,Ramsay,Model_Result,Similarity_Score
Why do we use gradient accumulation?,It simulates a larger batch size by accumulating gradients over several forward/backward passes before updating weights.,"Because your pathetic GPU can't handle a real batch size! It's training with training wheels! But fine, accumulate until you can afford a proper machine, you donkey!","Gradient accumulation is a technique used to reduce the variance of the gradient estimator, which in turn reduces the variance of the optimization algorithm. This is because the gradient estimator is typically noisy, and accumulating gradients over multiple iterations helps to smooth out this noise. By taking the average of the gradients, we can reduce the variance of the",0.5542762279510498
What is teacher forcing in RNN training?,"It's feeding the ground truth output as the next input during training, rather than the model's own prediction.","It's holding the baby's hand so it doesn't faceplant on the first step! Without it, your RNN spirals into madness from its own errors in epoch one!","Teacher forcing is a technique used in training Recurrent Neural Networks (RNNs) to improve the quality of the generated output. In this technique, the target output is provided to the network at each time step, but the input is randomly sampled from the data distribution. This allows the network to learn the probability distribution of",0.44072461128234863
What is perplexity in language modeling?,"It's a measure of how well a probability model predicts a sample, with lower values indicating better performance.","It's the 'oh dear' meter for your model! High perplexity means your LM is more confused than a chicken in a library! Lower it, you muppet!","Perplexity is a measure of how well a language model is able to predict the next word in a sequence given the context of the previous words. It is defined as the probability of the model generating a sequence of words that is most similar to the actual sequence. In other words, perplexity measures how uncertain the model",0.2605975270271301
What is the purpose of the residual connection in a network?,"It allows gradients to flow directly through the network, mitigating the vanishing gradient problem and enabling deeper models.","It's a highway for gradients to bypass your messy layers! Without it, your deep network is a labyrinth where gradients go to die! Build a bypass, you idiot!","The residual connection in a network is used to represent the residual graph or the graph of the differences between the original graph and the graph with a specific subset of edges removed or added. In the context of network flow, the residual graph is used to find augmenting paths in a flow network, which is a necessary step in",0.5226894617080688
What is a hyperparameter?,"It's a configuration variable set before training that guides the learning process (e.g., learning rate, batch size).","It's the knob you blindly twist before cooking! And you always set it to 'burnt' or 'raw'! Learn what they do, you donkey, or get out of my kitchen!","Hyperparameters are parameters of a machine learning model that are set before training. They are usually constants and are used to control the model's behavior. Examples of hyperparameters include the learning rate, regularization strength, and number of hidden layers. Hyperparameters are typically tuned using cross-validation and grid search to optimize the model's performance",0.4534570276737213
What is early stopping?,It's a regularization technique that halts training when validation performance stops improving to prevent overfitting.,"It's stopping before your model becomes a memorizing parrot that can't generalize! You keep training until it's useless! Have some discipline, you glutton!","Early stopping is the process of stopping the experiment or trial early when the desired outcome is achieved, in order to avoid further unnecessary costs and resources. This is also known as early termination.",0.3511205315589905
Why is data preprocessing important in NLP?,"It cleans and normalizes text (lowercasing, removing noise) to reduce vocabulary size and help the model learn patterns.","Because feeding raw, messy text to your model is like serving a pig in a trough! Clean your data, you slob! Garbage in, garbage out—this isn't a landfill!","Data preprocessing is important in NLP because it can significantly affect the performance of machine learning models. Preprocessing steps such as tokenization, stemming, lemmatization, and removing stop words can help to reduce noise in the data, improve the quality of the data, and enable the model to learn meaningful features. Additionally",0.5135287642478943
What is an Activation Function?,It introduces non-linearity into the network allowing it to learn complex patterns.,If you keep it linear it is just a stack of flat pancakes! You need a non-linear kick to make the model actually learn something complex!,"An activation function is a mathematical function that is used in the backpropagation algorithm to introduce non-linearity into the model. It is typically applied to the output of a layer, and its purpose is to introduce non-linearity into the model, allowing it to learn more complex relationships between inputs and outputs. Common examples of",0.4942866563796997
What is tokenization in NLP?,Tokenization splits text into smaller units like words or subwords for processing.,"If you feed raw text straight in, it’s a mess. Tokenization cleans it up—basic prep you somehow skipped.","Tokenization is the process of breaking down a piece of text into individual words or tokens. In NLP, tokenization is used to split a sentence or document into a sequence of words or subwords, which can then be used for various NLP tasks such as text classification, sentiment analysis, and language modeling.",0.8047078847885132
Why are word embeddings useful?,They capture semantic meaning by mapping words to dense vector spaces.,One-hot vectors are useless cardboard cutouts. Embeddings actually give words meaning—try using them.,"Word embeddings are useful because they represent words as vectors in a high-dimensional space such that semantically similar words are mapped to nearby points. This allows for efficient and effective word similarity measurement, word clustering, and text classification tasks. For example, in word similarity tasks, word embeddings can be used to compute the cosine similarity between",0.5274227261543274
Difference between Word2Vec and GloVe?,"Word2Vec uses local context prediction, while GloVe leverages global co-occurrence statistics.","One learns from neighbors, the other from the whole crowd. Learn the difference before mixing them blindly.","The primary difference between Word2Vec and GloVe is the way they represent words as vectors. Word2Vec uses a neural network to learn word embeddings, whereas GloVe represents words as vectors based on their co-occurrence in a corpus. Additionally, Word2Vec can capture different semantic relationships between words, such as",0.8061501383781433
What problem do LSTMs solve?,LSTMs mitigate vanishing gradients and model long-term dependencies.,"Plain RNNs forget everything—LSTMs exist because memory matters, unlike your baseline.","LSTMs (Long Short-Term Memory) are a type of Recurrent Neural Network (RNN) architecture that is designed to solve the vanishing gradient problem in traditional RNNs. The vanishing gradient problem occurs when gradients are propagated backwards through the network, and the gradients become very small, making it difficult",0.7529888153076172
What is attention in NLP?,Attention lets models focus on relevant parts of the input sequence.,"Instead of guessing blindly, attention actually looks where it should—try it.","Attention in NLP refers to the process of focusing on specific parts of the input data, such as text or images, to selectively weight or filter the information.

In this context, attention allows the model to selectively focus on certain regions or tokens of the input data, based on their relevance to the task at hand. This",0.6918021440505981
Why is self-attention important?,It allows tokens to relate to each other within the same sequence.,"Self-attention lets words talk to each other. Without it, you’re just shouting into the void.","Self-attention is important because it allows the model to attend to different positions in the input sequence simultaneously and weigh their importance. This is particularly useful in tasks such as machine translation, question-answering, and text classification, where the relationships between different parts of the input sequence are crucial. By attending to all positions",0.32920634746551514
Why are Transformers better than RNNs?,They enable parallel computation and model long-range dependencies efficiently.,"RNNs crawl, Transformers fly. If you’re still looping step by step, that’s on you.","Transformers are better than RNNs in several aspects:

1.  **Parallelization**: Transformers can process sequences in parallel, using multiple attention heads, whereas RNNs process sequences sequentially, using a single recurrent connection.
2.  **Long-Range Dependencies**: Transformers can capture long-range dependencies more effectively, as they",0.2791960835456848
What is positional encoding?,It injects word order information into Transformer models.,Transformers don’t know order unless you tell them—spell it out or get nonsense.,"In positional encoding, each symbol in a sequence is represented by a unique binary vector, where the position of the symbol in the sequence determines the position of the bits in the vector. For example, in the sequence ""abc"", the symbol ""a"" might be represented as [0 0 1], ""b""",0.34786128997802734
Difference between BERT and GPT?,"BERT is bidirectional and uses masked LM, GPT is autoregressive.","One reads both ways, the other predicts forward. Mixing them up is just sloppy.","BERT (Bidirectional Encoder Representations from Transformers) and GPT (Generative Pre-trained Transformer) are both transformer-based models used for natural language processing (NLP) tasks. However, they differ in their architecture and application:
- BERT is primarily used for question-answering, sentiment analysis, and",0.6837073564529419
What is masked language modeling?,It trains models by predicting hidden tokens in a sentence.,"Cover words, predict them—simple. If this confuses you, reread the basics.","Masked Language Modeling is a technique used in Natural Language Processing (NLP) to train language models. In this technique, a portion of the input sequence is randomly masked, and the model is trained to predict the missing tokens. This approach helps the model to learn the contextual relationships between tokens and improve its ability to generate",0.6282458305358887
Why is pretraining important?,It provides rich linguistic knowledge before task-specific fine-tuning.,Starting from scratch is masochism. Pretraining does the heavy lifting for you.,"Pretraining is important to reduce the size of the model, improve its learning speed, and prevent overfitting. Pretraining on a large corpus of text can help the model learn general linguistic patterns and relationships, which can then be fine-tuned for a specific task. This can lead to better performance on downstream tasks,",0.5992364287376404
What is fine-tuning?,It adapts a pretrained model to a specific downstream task.,"You don’t retrain the whole beast—fine-tune it, don’t butcher it.","The fine-tuning of fundamental physical constants in the universe refers to the observation that the values of these constants are ""just right"" for the existence of life and the structure of the universe as we know it. In other words, the fundamental physical constants such as the strength of the weak nuclear force, the strength of the",0.14116567373275757
What causes overfitting in NLP models?,Models learn noise due to excessive capacity or limited data.,"Too many parameters, not enough sense. That’s how you get overfitting.","Overfitting in NLP models is typically caused by models that are too complex, such as deep neural networks with many parameters, or models that are trained on a small dataset, or models that have a high capacity to fit the noise in the training data. 

However, in the context of NLP, a more",0.3980526924133301
How does dropout help?,It reduces overfitting by randomly disabling neurons during training.,Dropout forces the model to stop relying on crutches—something you should try.,"Dropout helps in reducing overfitting by randomly dropping out units during training. This helps in preventing the model from memorizing the training data and generalizing to unseen data. By randomly dropping out units, the model is forced to learn more abstract features, which improves its ability to generalize to new data. 

Note: Dropout",0.5488921403884888
Layer norm vs batch norm?,"Layer norm normalizes per sample, batch norm per batch.",Batch norm panics with small batches—layer norm keeps it together.,"Layer norm and batch norm are both normalization techniques used in deep learning models, but they differ in the scope of normalization. Batch norm normalizes the input to a layer for a whole batch of data, whereas layer norm normalizes the input to a layer for a single sample. Batch norm is widely used in ResNet,",0.7325010895729065
What is softmax temperature?,It controls the confidence of probability distributions.,Too sharp or too flat—temperature fixes your model’s attitude problem.,"The softmax temperature is a hyperparameter used in the softmax loss function. It is a scalar value that controls the range of the softmax output. A lower softmax temperature means a larger range for the softmax output, which can help to avoid vanishing gradients. The softmax temperature is typically set to 1.0. 

However",0.18883103132247925
Greedy decoding vs beam search?,"Greedy picks the best token, beam search explores multiple paths.",Greedy is lazy. Beam search actually thinks ahead.,"Greedy decoding is simpler and faster but may not find the optimal solution. Beam search is more complex and computationally expensive but can find the optimal solution.

Explanation: Greedy decoding is a simple and fast algorithm for sequence prediction, where the model selects the most likely next token at each time step based on the current state",0.6344401240348816
What are limitations of BLEU score?,It ignores semantics and favors surface-level n-gram overlap.,"BLEU counts matches, not meaning. Don’t worship it blindly.","BLEU score has several limitations, including:
1. **Does not account for word order**: BLEU score does not take into account the word order of the reference and hypothesis sentences, which can lead to inaccurate scores.
2. **Does not account for non-lexical information**: BLEU score only considers the lexical similarity",0.40825000405311584
Why do we use padding and masking?,They handle variable-length sequences efficiently.,"Without masking, your model stares at padding like it’s real data.","Padding and masking are used to prevent the vanishing of gradients during backpropagation. When gradients are backpropagated through a network, they are typically computed as the sum of the gradients of the loss with respect to each output. However, in the case of convolutional layers, the gradients of the loss with respect",0.14338400959968567
What is subword tokenization?,It breaks words into smaller units to handle rare terms.,Words aren’t always whole—subwords save you from OOV disasters.,"Subword tokenization is a technique used in natural language processing (NLP) to represent words as a sequence of subwords, which are smaller units of a word. This is done to reduce the vocabulary size and improve the performance of NLP models. In subword tokenization, a word is split into subwords",0.44232267141342163
How do embeddings handle OOV words?,Subword methods infer meaning from word pieces.,Unknown words aren’t magic—subwords patch your vocabulary mess.,Out-of-vocabulary (OOV) words are typically represented using a special embedding matrix. This allows the model to learn a representation for OOV words that is distinct from the representations of words that are in the vocabulary. One common approach is to use a learnable matrix to map the OOV words to a high-dimensional,0.41669121384620667
Why use cross-entropy loss?,It measures divergence between predicted and true distributions.,It punishes wrong confidence properly—unlike your vague metrics.,"Cross-entropy loss is used for classification problems where the output is a probability distribution. It is defined as the difference between the observed class probabilities and the predicted class probabilities. The reason to use cross-entropy loss is that it is a measure of the difference between the true class probabilities and the predicted probabilities, and it is",0.38162633776664734
What is perplexity?,It measures how well a language model predicts text.,"Lower perplexity, better model. High perplexity means chaos.","Perplexity is a measure of the uncertainty of a model given a set of data. It is defined as the ratio of the number of possible models to the number of possible models that are consistent with the data. In other words, it measures how many different models could have generated the data, given the model's parameters",0.23846988379955292
How does data augmentation help NLP?,It increases data diversity and improves generalization.,"More varied data, fewer excuses for poor performance.","Data augmentation is a technique used in NLP to artificially increase the size of a training dataset by applying transformations to the existing data. This helps in improving the model's performance by increasing the diversity of the training data, reducing overfitting, and making the model more robust to different types of inputs. For example, in",0.47681957483291626
